,name,city,combined,url
18131,Max's Cleaners,Scottsdale,Max's Cleaners Scottsdale,https://www.yelp.com/biz/Max-S-Cleaners-Scottsdale
164291,Ed's Fish & Chips,Avondale,Ed's Fish & Chips Avondale,https://www.yelp.com/biz/Ed-S-Fish-And-Chips-Avondale
83697,DICK'S Sporting Goods,Madison,DICK'S Sporting Goods Madison,https://www.yelp.com/biz/Dick-S-Sporting-Goods-Madison
71661,The 80/20 Hub,Calgary,The 80/20 Hub Calgary,https://www.yelp.com/biz/The8020-Hub-Calgary
58201,Rock-A-Bye,Sun Prairie,Rock-A-Bye Sun Prairie,https://www.yelp.com/biz/Rock--A--Bye-Sun-Prairie
95291,Ciociaro Sport Bar,Saint-Leonard,Ciociaro Sport Bar Saint-Leonard,https://www.yelp.com/biz/Ciociaro-Sport-Bar-Saint--Leonard
115181,Ben & Florentine,Sainte-Thérèse,Ben & Florentine Sainte-Thérèse,https://www.yelp.com/biz/Ben-And-Florentine-Sainte--Thérèse
107805,Family Dentistry - Dr. Victoria R. Santiago & Associates,Toronto,Family Dentistry - Dr. Victoria R. Santiago & Associates Toronto,https://www.yelp.com/biz/Family-Dentistry--Dr-Victoria-R-Santiago-And-Associates-Toronto
79072,Cheap Joe's Art Stuff,Charlotte,Cheap Joe's Art Stuff Charlotte,https://www.yelp.com/biz/Cheap-Joe-S-Art-Stuff-Charlotte
124828,Bistro 70,Painesville,Bistro 70 Painesville,https://www.yelp.com/biz/Bistro70-Painesville
154188,Kathy's Pro Nails & Spa,Gilbert,Kathy's Pro Nails & Spa Gilbert,https://www.yelp.com/biz/Kathy-S-Pro-Nails-And-Spa-Gilbert
98495,All-Clad Metalcrafters,Canonsburg,All-Clad Metalcrafters Canonsburg,https://www.yelp.com/biz/All--Clad-Metalcrafters-Canonsburg
1955,Longo's,North York,Longo's North York,https://www.yelp.com/biz/Longo-S-North-York
149155,Hawthorne's NY Pizza & Bar,Charlotte,Hawthorne's NY Pizza & Bar Charlotte,https://www.yelp.com/biz/Hawthorne-S-Ny-Pizza-And-Bar-Charlotte
37602,Pick A Part - East Valley,Mesa,Pick A Part - East Valley Mesa,https://www.yelp.com/biz/Pick-A-Part--East-Valley-Mesa
71622,T&S Express Auto,Mesa,T&S Express Auto Mesa,https://www.yelp.com/biz/T-And-S-Express-Auto-Mesa
37965,Pain Stop Clinics - Arrowhead,Glendale,Pain Stop Clinics - Arrowhead Glendale,https://www.yelp.com/biz/Pain-Stop-Clinics--Arrowhead-Glendale
109386,For The Girls Inc: Everything Underthings,Toronto,For The Girls Inc: Everything Underthings Toronto,https://www.yelp.com/biz/For-The-Girls-Inc:-Everything-Underthings-Toronto
33400,Armed Forces Bank-Nellis AFB,Nellis AFB,Armed Forces Bank-Nellis AFB Nellis AFB,https://www.yelp.com/biz/Armed-Forces-Bank--Nellis-Afb-Nellis-Afb
196219,Glam Studio 19,Phoenix,Glam Studio 19 Phoenix,https://www.yelp.com/biz/Glam-Studio19-Phoenix
16247,8th Wonder Studio,Phoenix,8th Wonder Studio Phoenix,https://www.yelp.com/biz/Th-Wonder-Studio-Phoenix
42760,Yala's Pizza,Lorain,Yala's Pizza Lorain,https://www.yelp.com/biz/Yala-S-Pizza-Lorain
