postal_code,n_businesses,open_precovid,open_postcovid,perc_open_precovid,perc_open_postcovid,perc_open_abschange,perc_open_relchaneg,stayed_open,perc_stayed_open,became_open,perc_became_opened
85004,274,180,274,0.656934306569343,1.0,0.34306569343065696,0.5222222222222223,180.0,1.0,94.0,1.0
85202,660,497,656,0.753030303030303,0.9939393939393939,0.24090909090909085,0.3199195171026156,496.0,0.9979879275653923,160.0,0.9815950920245399
85206,268,223,264,0.832089552238806,0.9850746268656716,0.1529850746268656,0.1838565022421524,221.0,0.9910313901345291,43.0,0.9555555555555556
85224,786,611,779,0.77735368956743,0.9910941475826972,0.2137404580152672,0.2749590834697218,605.0,0.9901800327332242,174.0,0.9942857142857143
85226,567,443,565,0.781305114638448,0.9964726631393298,0.21516754850088182,0.2753950338600451,442.0,0.9977426636568849,123.0,0.9919354838709677
85233,681,562,676,0.8252569750367107,0.9926578560939795,0.1674008810572688,0.20284697508896807,560.0,0.99644128113879,116.0,0.9747899159663865
85234,689,595,682,0.8635703918722787,0.9898403483309144,0.1262699564586357,0.14621848739495796,594.0,0.9983193277310924,88.0,0.9361702127659575
85251,1892,1409,1878,0.7447145877378436,0.992600422832981,0.2478858350951374,0.332860184528034,1403.0,0.9957416607523066,475.0,0.9834368530020704
85258,679,576,674,0.8483063328424153,0.9926362297496318,0.14432989690721654,0.17013888888888895,575.0,0.9982638888888888,99.0,0.9611650485436893
85260,1737,1408,1728,0.8105929763960852,0.9948186528497409,0.18422567645365573,0.22727272727272727,1402.0,0.9957386363636364,326.0,0.9908814589665653
85283,624,484,618,0.7756410256410257,0.9903846153846154,0.21474358974358976,0.2768595041322314,484.0,1.0,134.0,0.9571428571428572
85301,561,471,553,0.839572192513369,0.9857397504456328,0.14616755793226377,0.17409766454352435,469.0,0.9957537154989384,84.0,0.9333333333333333
89052,1296,1047,1288,0.8078703703703703,0.9938271604938271,0.18595679012345678,0.23018147086914995,1042.0,0.9952244508118434,246.0,0.9879518072289156
89101,1266,1014,1256,0.8009478672985783,0.9921011058451816,0.19115323854660338,0.23865877712031544,1010.0,0.9960552268244576,246.0,0.9761904761904762
89102,688,518,679,0.752906976744186,0.9869186046511628,0.23401162790697672,0.31081081081081074,517.0,0.9980694980694981,162.0,0.9529411764705882
89117,489,399,485,0.8159509202453987,0.9918200408997955,0.17586912065439675,0.21553884711779453,399.0,1.0,86.0,0.9555555555555556
89123,1299,978,1291,0.7528868360277137,0.993841416474211,0.2409545804464973,0.320040899795501,977.0,0.9989775051124744,314.0,0.9781931464174455
