,postal_code,n_businesses,open_precovid,open_postcovid,perc_open_precovid,perc_open_postcovid,perc_open_abschange,perc_open_relchaneg,stayed_open,perc_stayed_open,became_open,perc_became_opened,loan_amount,jobs_reported,loan_count,fips_code
0,85004,274,180.0,274.0,0.656934306569343,1.0,0.34306569343065696,0.5222222222222223,180.0,1.0,94.0,1.0,19915035.55000001,2354.0,445,4013
1,85202,660,497.0,656.0,0.7530303030303029,0.993939393939394,0.24090909090909085,0.3199195171026156,496.0,0.9979879275653925,160.0,0.98159509202454,14937781.53,2186.0,430,4013
2,85206,268,223.0,264.0,0.8320895522388059,0.9850746268656716,0.1529850746268656,0.1838565022421524,221.0,0.9910313901345292,43.0,0.9555555555555556,19044233.520000003,2493.0,504,4013
3,85224,786,611.0,779.0,0.77735368956743,0.9910941475826972,0.2137404580152672,0.2749590834697218,605.0,0.9901800327332242,174.0,0.9942857142857144,20761021.220000003,2421.0,625,4013
4,85226,567,443.0,565.0,0.7813051146384481,0.9964726631393298,0.21516754850088185,0.2753950338600451,442.0,0.9977426636568848,123.0,0.9919354838709676,24776100.110000007,3183.0,669,4013
5,85233,681,562.0,676.0,0.8252569750367107,0.9926578560939796,0.1674008810572688,0.20284697508896807,560.0,0.99644128113879,116.0,0.9747899159663864,23792369.220000014,2861.0,604,4013
6,85234,689,595.0,682.0,0.8635703918722787,0.9898403483309144,0.1262699564586357,0.14621848739495796,594.0,0.9983193277310924,88.0,0.9361702127659576,22749864.430000003,3683.0,758,4013
7,85251,1892,1409.0,1878.0,0.7447145877378436,0.9926004228329808,0.2478858350951374,0.332860184528034,1403.0,0.9957416607523066,475.0,0.9834368530020704,49004417.90000002,5402.0,1506,4013
8,85258,679,576.0,674.0,0.8483063328424153,0.9926362297496318,0.14432989690721654,0.17013888888888895,575.0,0.9982638888888888,99.0,0.9611650485436892,35405831.540000014,3494.0,1041,4013
9,85260,1737,1408.0,1728.0,0.8105929763960852,0.9948186528497408,0.18422567645365573,0.2272727272727273,1402.0,0.9957386363636364,326.0,0.9908814589665652,83396880.24999999,8396.0,2079,4013
10,85283,624,484.0,618.0,0.7756410256410257,0.9903846153846154,0.21474358974358976,0.2768595041322314,484.0,1.0,134.0,0.9571428571428572,18500569.209999997,2105.0,507,4013
11,85301,561,471.0,553.0,0.839572192513369,0.9857397504456328,0.14616755793226374,0.17409766454352435,469.0,0.9957537154989384,84.0,0.9333333333333332,14606181.459999997,1765.0,392,4013
12,89052,1296,1047.0,1288.0,0.8078703703703703,0.9938271604938272,0.1859567901234568,0.23018147086914995,1042.0,0.9952244508118434,246.0,0.9879518072289156,35852497.230000004,4242.0,1204,32003
13,89101,1266,1014.0,1256.0,0.8009478672985783,0.9921011058451816,0.19115323854660332,0.23865877712031544,1010.0,0.9960552268244576,246.0,0.9761904761904762,21196814.919999994,2574.0,548,32003
14,89102,1658,1272.0,1642.0,0.7671893848009649,0.9903498190591074,0.2231604342581424,0.2908805031446541,1269.0,0.9976415094339622,373.0,0.966321243523316,35844858.62,5889.0,943,32003
15,89117,489,399.0,485.0,0.8159509202453987,0.9918200408997956,0.17586912065439675,0.21553884711779453,399.0,1.0,86.0,0.9555555555555556,39462099.45999999,5062.0,1346,32003
16,89123,1299,978.0,1291.0,0.7528868360277137,0.9938414164742108,0.2409545804464973,0.32004089979550104,977.0,0.9989775051124744,314.0,0.9781931464174456,24814570.83000001,3467.0,867,32003
17,89109,1690,1252.0,1689.0,0.7408284023668639,0.9994082840236688,0.2585798816568048,0.34904153354632594,1251.0,0.9992012779552716,438.0,1.0,16651868.259999996,2420.0,401,32003
